OA21CD,National_P,OA_Populat,pop_in_threshold
E00097985,Lake District,373,373.0
E00097986,Lake District,328,328.0
E00097987,Lake District,160,160.0
E00097988,Lake District,233,233.0
E00097989,Lake District,278,278.0
E00097990,Lake District,267,267.0
E00097991,Lake District,534,534.0
E00097999,Lake District,290,221.55279503105592
E00098006,Yorkshire Dales,238,238.00000000000003
E00098007,Yorkshire Dales,284,284.0
E00098008,Yorkshire Dales,246,246.0
E00098009,Yorkshire Dales,204,204.0
E00098010,Yorkshire Dales,350,350.0
E00098011,Yorkshire Dales,312,312.0
E00098012,Yorkshire Dales,522,522.0
E00098013,Yorkshire Dales,307,307.0
E00098014,Yorkshire Dales,249,249.00000000000003
E00098015,Yorkshire Dales,268,268.0
E00098017,Yorkshire Dales,430,430.00000000000006
E00098018,Lake District,216,216.0
E00098019,Lake District,301,301.0
E00098020,Lake District,245,245.0
E00098021,Lake District,264,264.0
E00098022,Lake District,256,256.0
E00098023,Lake District,153,153.0
E00098024,Lake District,279,279.0
E00098025,Lake District,350,350.0
E00098026,Lake District,233,233.00000000000003
E00098027,Lake District,226,226.0
E00098028,Lake District,381,380.99999999999994
E00098029,Lake District,436,436.0
E00098030,Lake District,222,222.0
E00098031,Lake District,205,205.0
E00098032,Lake District,151,151.0
E00098074,Yorkshire Dales,219,36.8411214953271
E00098075,Yorkshire Dales,298,230.78195488721803
E00098081,Lake District,183,36.11842105263158
E00098082,Lake District,296,152.28985507246378
E00098083,Lake District,215,215.0
E00098084,Lake District,174,174.0
E00098085,Lake District,211,211.0
E00098086,Lake District,200,200.0
E00098087,Lake District,280,280.0
E00098088,Lake District,256,256.0
E00098089,Lake District,232,232.0
E00098090,Lake District,273,273.0
E00098091,Lake District,267,267.0
E00098092,Lake District,281,281.0
E00098093,Lake District,253,253.00000000000003
E00098094,Lake District,302,302.0
E00098095,Lake District,311,311.0
E00098096,Lake District,281,281.0
E00098097,Lake District,266,266.0
E00098098,Lake District,303,303.0
E00098099,Lake District,326,326.0
E00098100,Lake District,312,312.0
E00098101,Lake District,282,282.0
E00098102,Lake District,295,295.0
E00098103,Lake District,238,237.99999999999997
E00098104,Lake District,226,226.0
E00098105,Lake District,245,245.0
E00098106,Lake District,282,282.0
E00098107,Lake District,308,308.0
E00098108,Lake District,291,291.0
E00098109,Lake District,234,234.0
E00098110,Lake District,277,277.0
E00098111,Lake District,241,241.0
E00099125,Peak District,220,220.0
E00099126,Peak District,288,288.0
E00099127,Peak District,259,259.0
E00099128,Peak District,302,302.0
E00099129,Peak District,247,247.0
E00099130,Peak District,191,191.0
E00099131,Peak District,163,163.0
E00099132,Peak District,225,225.0
E00099133,Peak District,323,323.0
E00099134,Peak District,239,239.0
E00099135,Peak District,224,224.0
E00099136,Peak District,251,251.0
E00099137,Peak District,280,280.0
E00099138,Peak District,198,198.0
E00099139,Peak District,234,234.0
E00099140,Peak District,359,359.0
E00099141,Peak District,261,261.0
E00099142,Peak District,219,219.0
E00099143,Peak District,279,279.0
E00099144,Peak District,310,310.0
E00099145,Peak District,269,269.0
E00099146,Peak District,300,300.0
E00099155,Peak District,225,225.0
E00099156,Peak District,197,197.0
E00099157,Peak District,250,250.0
E00099158,Peak District,402,402.0
E00099159,Peak District,184,184.0
E00099160,Peak District,236,236.0
E00099161,Peak District,284,284.0
E00099162,Peak District,154,154.0
E00099163,Peak District,108,7.043478260869566
E00099164,Peak District,314,29.62264150943396
E00099169,Peak District,263,263.0
E00099170,Peak District,348,348.00000000000006
E00099171,Peak District,303,303.0
E00099172,Peak District,263,263.0
E00099173,Peak District,159,159.0
E00099174,Peak District,140,140.0
E00099175,Peak District,140,140.0
E00099205,Peak District,129,129.0
E00099206,Peak District,183,183.00000000000003
E00099207,Peak District,430,430.0
E00099209,Peak District,320,320.0
E00099210,Peak District,116,116.00000000000001
E00099211,Peak District,140,140.0
E00099212,Peak District,133,133.0
E00099220,Peak District,296,296.0
E00099221,Peak District,196,196.0
E00099222,Peak District,354,354.0
E00099223,Peak District,301,301.0
E00099224,Peak District,242,241.99999999999997
E00099225,Peak District,259,259.0
E00099226,Peak District,454,454.0
E00099227,Peak District,360,360.0
E00099228,Peak District,161,161.0
E00099229,Peak District,295,295.0
E00099230,Peak District,293,293.0
E00099231,Peak District,297,297.0
E00099232,Peak District,290,290.0
E00099233,Peak District,189,189.0
E00099234,Peak District,349,349.0
E00099235,Peak District,232,232.00000000000003
E00099236,Peak District,238,238.0
E00099237,Peak District,263,263.0
E00099238,Peak District,294,294.0
E00099247,Peak District,131,131.0
E00099248,Peak District,311,311.0
E00099249,Peak District,231,231.0
E00099250,Peak District,261,261.0
E00099251,Peak District,264,264.0
E00099252,Peak District,211,211.0
E00099253,Peak District,107,107.0
E00099255,Peak District,202,202.0
E00099256,Peak District,183,183.0
E00099260,Peak District,318,317.99999999999994
E00099261,Peak District,112,112.0
E00099263,Peak District,276,66.05128205128206
E00099264,Peak District,219,53.67647058823529
E00099315,Peak District,330,327.92452830188677
E00099318,Peak District,267,20.895652173913042
E00099319,Peak District,254,163.79439252336448
E00099320,Peak District,320,280.7361963190184
E00099321,Peak District,263,263.0
E00099322,Peak District,242,242.0
E00099323,Peak District,253,253.0
E00099324,Peak District,284,284.0
E00099325,Peak District,284,284.0
E00099326,Peak District,200,200.0
