OA21CD,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,GlobalID,index_righ,CODE,NAME,MEASURE,DESIG_DATE,HOTLINK,STATUS,National_P,Park_Popul,address_in,total_addr,address_ou,OA_Populat,pop_per_ad,pop_inside,pop_outsid,percentage_in,Threshold_0,Threshold_5,Threshold_10,Threshold_15,Threshold_20,Threshold_25,Threshold_30,Threshold_35,Threshold_40,Threshold_45,Threshold_50,Threshold_55,Threshold_60,Threshold_65,Threshold_70,Threshold_75,Threshold_80,Threshold_85,Threshold_90,Threshold_95
E00041199,E01008128,Sheffield 008C,,419140,397710,53.4758,-1.71309,f1042173-8563-4f9c-9740-8ecf3e1d5e3d,3,8,PEAK DISTRICT,1438.0,1951-04-17,http://www.peakdistrict.gov.uk/,Designated,PEAK DISTRICT,140,14.0,56,42.0,140,2.5,35.0,105.0,0.25,140,140,140,140,140,140,,,,,,,,,,,,,,
E00041273,E01008147,Sheffield 002D,,425387,397303,53.4719,-1.619,3fdb5b9b-c0e2-4565-b389-6ef16e051069,3,8,PEAK DISTRICT,1438.0,1951-04-17,http://www.peakdistrict.gov.uk/,Designated,PEAK DISTRICT,393,14.0,170,156.0,393,2.311764705882353,32.364705882352936,360.63529411764705,0.08235294117647059,393,393,,,,,,,,,,,,,,,,,,
E00041326,E01008158,Sheffield 025D,,428755,387351,53.3822,-1.56917,27bf7535-09ef-46a8-ab7b-13e9547d9c1e,3,8,PEAK DISTRICT,1438.0,1951-04-17,http://www.peakdistrict.gov.uk/,Designated,PEAK DISTRICT,161,7.0,88,81.0,161,1.829545454545455,12.806818181818182,148.1931818181818,0.07954545454545454,161,161,,,,,,,,,,,,,,,,,,
E00055784,E01011076,Kirklees 052D,,406345,412150,53.6059,-1.90558,ae0428d9-a79d-45f7-b656-74b0bffb851f,3,8,PEAK DISTRICT,1438.0,1951-04-17,http://www.peakdistrict.gov.uk/,Designated,PEAK DISTRICT,297,0.0,132,132.0,297,2.25,0.0,297.0,0.0,297,,,,,,,,,,,,,,,,,,,
E00055785,E01011075,Kirklees 052C,,403693,413717,53.62,-1.94564,c5cbc3d9-7fb0-4d0e-a1e1-8f33dd476882,3,8,PEAK DISTRICT,1438.0,1951-04-17,http://www.peakdistrict.gov.uk/,Designated,PEAK DISTRICT,398,8.0,159,151.0,398,2.50314465408805,20.0251572327044,377.97484276729557,0.050314465408805034,398,398,,,,,,,,,,,,,,,,,,
E00055819,E01011074,Kirklees 052B,,404614,410713,53.593,-1.93176,bcee99e9-c18b-4f09-ac3a-7ee2ab755d43,3,8,PEAK DISTRICT,1438.0,1951-04-17,http://www.peakdistrict.gov.uk/,Designated,PEAK DISTRICT,274,0.0,132,132.0,274,2.075757575757576,0.0,274.0,0.0,274,,,,,,,,,,,,,,,,,,,
E00056306,E01011168,Kirklees 055A,,408717,409580,53.5827,-1.8698,33e30134-7fc1-4914-90c7-94724a463d4f,3,8,PEAK DISTRICT,1438.0,1951-04-17,http://www.peakdistrict.gov.uk/,Designated,PEAK DISTRICT,340,2.0,152,150.0,340,2.236842105263158,4.473684210526316,335.5263157894737,0.013157894736842105,340,,,,,,,,,,,,,,,,,,,
E00056312,E01011174,Kirklees 055B,,410436,409370,53.5808,-1.84384,22afeb20-60d0-4027-87c4-f781cef50dee,3,8,PEAK DISTRICT,1438.0,1951-04-17,http://www.peakdistrict.gov.uk/,Designated,PEAK DISTRICT,266,9.0,113,104.0,266,2.353982300884956,21.1858407079646,244.8141592920354,0.07964601769911504,266,266,,,,,,,,,,,,,,,,,,
E00056315,E01011177,Kirklees 055D,,409260,412430,53.6084,-1.86152,cc0ca051-41b4-48b4-8129-51cb74fbebbd,3,8,PEAK DISTRICT,1438.0,1951-04-17,http://www.peakdistrict.gov.uk/,Designated,PEAK DISTRICT,513,12.0,187,175.0,513,2.74331550802139,32.919786096256686,480.0802139037433,0.06417112299465241,513,513,,,,,,,,,,,,,,,,,,
E00056332,E01011183,Kirklees 059C,,414346,404684,53.5386,-1.785,db09d79b-ab99-40f5-a3e0-bd42b8d60cea,3,8,PEAK DISTRICT,1438.0,1951-04-17,http://www.peakdistrict.gov.uk/,Designated,PEAK DISTRICT,529,0.0,225,225.0,529,2.351111111111111,0.0,529.0,0.0,529,,,,,,,,,,,,,,,,,,,
E00056334,E01011182,Kirklees 058B,,412468,406076,53.5512,-1.81328,1fc9ee96-d09e-4b74-b57d-24440f9fdbd1,3,8,PEAK DISTRICT,1438.0,1951-04-17,http://www.peakdistrict.gov.uk/,Designated,PEAK DISTRICT,280,0.0,136,136.0,280,2.058823529411764,0.0,280.0,0.0,280,,,,,,,,,,,,,,,,,,,
E00056336,E01011182,Kirklees 058B,,411852,405948,53.55,-1.82258,eb2ab2a4-14b3-4484-8f11-a08efc03e804,3,8,PEAK DISTRICT,1438.0,1951-04-17,http://www.peakdistrict.gov.uk/,Designated,PEAK DISTRICT,283,0.0,138,138.0,283,2.050724637681159,0.0,282.99999999999994,0.0,283,,,,,,,,,,,,,,,,,,,
E00056337,E01011182,Kirklees 058B,,408794,405293,53.5442,-1.86876,fa20fe01-89c0-4238-99a4-8d1bfee869ea,3,8,PEAK DISTRICT,1438.0,1951-04-17,http://www.peakdistrict.gov.uk/,Designated,PEAK DISTRICT,195,69.0,95,26.0,195,2.052631578947369,141.63157894736844,53.36842105263158,0.7263157894736842,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,,,,,
E00056360,E01011182,Kirklees 058B,,411566,407575,53.5647,-1.82684,f5935e0f-ec28-4271-b398-b4f2c94b80df,3,8,PEAK DISTRICT,1438.0,1951-04-17,http://www.peakdistrict.gov.uk/,Designated,PEAK DISTRICT,253,2.0,109,107.0,253,2.321100917431193,4.642201834862385,248.3577981651376,0.01834862385321101,253,,,,,,,,,,,,,,,,,,,
E00061142,E01012124,Redcar and Cleveland 020B,,459498,514755,54.5246,-1.08226,8ac6ff31-a42d-45d9-a65d-9b9c3eab5b65,4,7,NORTH YORK MOORS,1441.0,1952-11-28,http://www.northyorkmoors.org.uk/,Designated,NORTH YORK MOORS,245,0.0,128,128.0,245,1.9140625,0.0,245.0,0.0,245,,,,,,,,,,,,,,,,,,,
